relaxation_percent,submission,score,rank,workloads_reached,workload_count
3,Single Worker DiLoCo (JAX),0.046576879910213226,14,3,9
4,AdEMAMix (AdamW-equiv.) (PyTorch),0.5314253647586987,7,7,9
4,AdEMAMix (PyTorch),0.5639730639730643,3,7,9
4,Cautious NAdamW (JAX),0.4932659932659933,8,7,9
4,Lion (PyTorch),0.3383838383838382,12,6,9
4,Muon (JAX),0.39169472502805874,11,5,9
4,Muon (PyTorch),0.461840628507296,9,5,9
4,NAdamW (JAX),0.45566778900112226,10,7,9
4,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5482603815937154,5,7,9
4,NAdamW (Tuned for ResNet) (JAX),0.3333333333333337,13,7,9
4,Schedule-Free AdamW (PyTorch),0.5735129068462396,2,6,9
4,Schedule-Free AdamW (JAX),0.5460157126823791,6,6,9
4,Schedule-Free AdamW v2 (JAX),0.6840628507295176,1,7,9
4,Schedule-Free AdamW v2 (PyTorch),0.5600448933782273,4,7,9
4,Single Worker DiLoCo (JAX),0.047138047138047125,14,3,9
5,AdEMAMix (AdamW-equiv.) (PyTorch),0.5308641975308648,7,7,9
5,AdEMAMix (PyTorch),0.6503928170594843,2,7,9
5,Cautious NAdamW (JAX),0.4775533108866446,9,7,9
5,Lion (PyTorch),0.3793490460157129,12,6,9
5,Muon (JAX),0.4197530864197534,11,5,9
5,Muon (PyTorch),0.488776655443323,8,5,9
5,NAdamW (JAX),0.44556677890011226,10,7,9
5,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5336700336700341,6,7,9
5,NAdamW (Tuned for ResNet) (JAX),0.3569023569023571,13,7,9
5,Schedule-Free AdamW (PyTorch),0.5881032547699209,4,6,9
5,Schedule-Free AdamW (JAX),0.5679012345679008,5,6,9
5,Schedule-Free AdamW v2 (JAX),0.692480359147026,1,7,9
5,Schedule-Free AdamW v2 (PyTorch),0.5993265993265994,3,7,9
5,Single Worker DiLoCo (JAX),0.12177328843995516,14,4,9
6,AdEMAMix (AdamW-equiv.) (PyTorch),0.51571268237935,6,7,9
6,AdEMAMix (PyTorch),0.6032547699214367,2,7,9
6,Cautious NAdamW (JAX),0.41694725028058355,11,7,9
6,Lion (PyTorch),0.41245791245791247,12,6,9
6,Muon (JAX),0.4545454545454553,9,6,9
6,Muon (PyTorch),0.4730639730639739,7,5,9
6,NAdamW (JAX),0.4219977553310885,10,7,9
6,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4674523007856342,8,7,9
6,NAdamW (Tuned for ResNet) (JAX),0.3439955106621775,13,7,9
6,Schedule-Free AdamW (PyTorch),0.5510662177328841,4,6,9
6,Schedule-Free AdamW (JAX),0.5331088664422,5,6,9
6,Schedule-Free AdamW v2 (JAX),0.6453423120089784,1,7,9
6,Schedule-Free AdamW v2 (PyTorch),0.5746352413019085,3,7,9
6,Single Worker DiLoCo (JAX),0.15544332210998887,14,6,9
7,AdEMAMix (AdamW-equiv.) (PyTorch),0.5056116722783399,6,7,9
7,AdEMAMix (PyTorch),0.5886644219977554,2,7,9
7,Cautious NAdamW (JAX),0.3945005611672283,11,7,9
7,Lion (PyTorch),0.4259259259259267,10,6,9
7,Muon (JAX),0.4433221099887774,9,7,9
7,Muon (PyTorch),0.488776655443323,7,5,9
7,NAdamW (JAX),0.38945005611672306,12,7,9
7,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.47643097643097665,8,7,9
7,NAdamW (Tuned for ResNet) (JAX),0.31369248035914676,13,7,9
7,Schedule-Free AdamW (PyTorch),0.5611672278338942,4,6,9
7,Schedule-Free AdamW (JAX),0.5634118967452297,3,6,9
7,Schedule-Free AdamW v2 (JAX),0.6734006734006736,1,7,9
7,Schedule-Free AdamW v2 (PyTorch),0.5538720538720548,5,7,9
7,Single Worker DiLoCo (JAX),0.1419753086419754,14,6,9
8,AdEMAMix (AdamW-equiv.) (PyTorch),0.5061728395061739,7,7,9
8,AdEMAMix (PyTorch),0.6032547699214365,2,7,9
8,Cautious NAdamW (JAX),0.3950617283950619,11,7,9
8,Lion (PyTorch),0.4393939393939401,10,6,9
8,Muon (JAX),0.4410774410774418,9,7,9
8,Muon (PyTorch),0.6015712682379343,3,6,9
8,NAdamW (JAX),0.37878787878787934,12,7,9
8,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.48484848484848464,8,7,9
8,NAdamW (Tuned for ResNet) (JAX),0.30078563411896697,13,7,9
8,Schedule-Free AdamW (PyTorch),0.5645342312008975,5,6,9
8,Schedule-Free AdamW (JAX),0.5634118967452297,6,6,9
8,Schedule-Free AdamW v2 (JAX),0.6734006734006736,1,7,9
8,Schedule-Free AdamW v2 (PyTorch),0.5763187429854101,4,7,9
8,Single Worker DiLoCo (JAX),0.19472502805836125,14,6,9
9,AdEMAMix (AdamW-equiv.) (PyTorch),0.5342312008978677,7,7,9
9,AdEMAMix (PyTorch),0.6313131313131316,2,7,9
9,Cautious NAdamW (JAX),0.4023569023569024,11,7,9
9,Lion (PyTorch),0.461840628507296,9,6,9
9,Muon (JAX),0.43771043771043844,10,7,9
9,Muon (PyTorch),0.602693602693602,3,6,9
9,NAdamW (JAX),0.37822671156004545,12,7,9
9,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4898989898989896,8,7,9
9,NAdamW (Tuned for ResNet) (JAX),0.33389450056116715,13,7,9
9,Schedule-Free AdamW (PyTorch),0.5937149270482598,4,6,9
9,Schedule-Free AdamW (JAX),0.5746352413019077,6,6,9
9,Schedule-Free AdamW v2 (JAX),0.6846240179573512,1,7,9
9,Schedule-Free AdamW v2 (PyTorch),0.5751964085297422,5,7,9
9,Single Worker DiLoCo (JAX),0.2457912457912453,14,6,9
10,AdEMAMix (AdamW-equiv.) (PyTorch),0.5213243546576883,7,7,9
10,AdEMAMix (PyTorch),0.624579124579125,2,7,9
10,Cautious NAdamW (JAX),0.40123456790123474,11,7,9
10,Lion (PyTorch),0.4438832772166114,10,6,9
10,Muon (JAX),0.4506172839506177,9,7,9
10,Muon (PyTorch),0.5993265993265987,4,6,9
10,NAdamW (JAX),0.37542087542087604,12,7,9
10,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.493265993265993,8,7,9
10,NAdamW (Tuned for ResNet) (JAX),0.3265993265993262,13,7,9
10,Schedule-Free AdamW (PyTorch),0.5785634118967448,5,6,9
10,Schedule-Free AdamW (JAX),0.5561167227833891,6,6,9
10,Schedule-Free AdamW v2 (JAX),0.6851851851851855,1,7,9
10,Schedule-Free AdamW v2 (PyTorch),0.607182940516274,3,7,9
10,Single Worker DiLoCo (JAX),0.23176206509539798,14,6,9
11,AdEMAMix (AdamW-equiv.) (PyTorch),0.5589225589225592,7,7,9
11,AdEMAMix (PyTorch),0.6414141414141417,2,7,9
11,Cautious NAdamW (JAX),0.4612794612794611,10,7,9
11,Lion (PyTorch),0.45959595959596045,11,6,9
11,Muon (JAX),0.4870931537598213,9,7,9
11,Muon (PyTorch),0.5982042648709308,4,6,9
11,NAdamW (JAX),0.3900112233445572,12,7,9
11,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.49270482603815907,8,7,9
11,NAdamW (Tuned for ResNet) (JAX),0.3136924803591467,13,7,9
11,Schedule-Free AdamW (PyTorch),0.5735129068462397,6,6,9
11,Schedule-Free AdamW (JAX),0.5746352413019075,5,6,9
11,Schedule-Free AdamW v2 (JAX),0.6846240179573515,1,7,9
11,Schedule-Free AdamW v2 (PyTorch),0.6200897867564538,3,7,9
11,Single Worker DiLoCo (JAX),0.24803591470258102,14,6,9
12,AdEMAMix (AdamW-equiv.) (PyTorch),0.5948372615039287,6,7,9
12,AdEMAMix (PyTorch),0.6414141414141417,3,7,9
12,Cautious NAdamW (JAX),0.48260381593714907,10,7,9
12,Lion (PyTorch),0.46240179573512985,11,6,9
12,Muon (JAX),0.5263748597081935,8,7,9
12,Muon (PyTorch),0.6986531986531989,1,7,9
12,NAdamW (JAX),0.4096520763187436,12,7,9
12,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5106621773288437,9,7,9
12,NAdamW (Tuned for ResNet) (JAX),0.3625140291806958,13,7,9
12,Schedule-Free AdamW (PyTorch),0.5959595959595954,5,6,9
12,Schedule-Free AdamW (JAX),0.5740740740740736,7,6,9
12,Schedule-Free AdamW v2 (JAX),0.6964085297418633,2,7,9
12,Schedule-Free AdamW v2 (PyTorch),0.618967452300786,4,7,9
12,Single Worker DiLoCo (JAX),0.30471380471380477,14,7,9
13,AdEMAMix (AdamW-equiv.) (PyTorch),0.6217732884399555,5,7,9
13,AdEMAMix (PyTorch),0.6380471380471383,4,7,9
13,Cautious NAdamW (JAX),0.47755331088664404,11,7,9
13,Lion (PyTorch),0.4792368125701467,10,6,9
13,Muon (JAX),0.5476992143658813,8,7,9
13,Muon (PyTorch),0.7109988776655444,2,7,9
13,NAdamW (JAX),0.4242424242424245,12,7,9
13,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5353535353535349,9,7,9
13,NAdamW (Tuned for ResNet) (JAX),0.36588103254769916,13,7,9
13,Schedule-Free AdamW (PyTorch),0.6122334455667782,7,6,9
13,Schedule-Free AdamW (JAX),0.6402918069584741,3,7,9
13,Schedule-Free AdamW v2 (JAX),0.7138047138047138,1,7,9
13,Schedule-Free AdamW v2 (PyTorch),0.6195286195286199,6,8,9
13,Single Worker DiLoCo (JAX),0.2934904601571266,14,7,9
14,AdEMAMix (AdamW-equiv.) (PyTorch),0.634118967452301,5,7,9
14,AdEMAMix (PyTorch),0.6717171717171722,3,7,9
14,Cautious NAdamW (JAX),0.48148148148148123,10,7,9
14,Lion (PyTorch),0.4758698092031434,11,6,9
14,Muon (JAX),0.551066217732884,9,7,9
14,Muon (PyTorch),0.7098765432098766,2,7,9
14,NAdamW (JAX),0.44668911335578004,12,7,9
14,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5578002244668906,8,7,9
14,NAdamW (Tuned for ResNet) (JAX),0.4051627384960715,13,7,9
14,Schedule-Free AdamW (PyTorch),0.6156004489337815,7,6,9
14,Schedule-Free AdamW (JAX),0.6346801346801352,4,7,9
14,Schedule-Free AdamW v2 (JAX),0.7138047138047138,1,7,9
14,Schedule-Free AdamW v2 (PyTorch),0.6195286195286199,6,8,9
14,Single Worker DiLoCo (JAX),0.31874298540965207,14,7,9
15,AdEMAMix (AdamW-equiv.) (PyTorch),0.6352413019079688,6,7,9
15,AdEMAMix (PyTorch),0.6728395061728398,3,8,9
15,Cautious NAdamW (JAX),0.4702581369248035,11,7,9
15,Lion (PyTorch),0.5050505050505053,10,6,9
15,Muon (JAX),0.5656565656565657,8,7,9
15,Muon (PyTorch),0.7222222222222222,1,7,9
15,NAdamW (JAX),0.4601571268237934,12,7,9
15,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5476992143658806,9,7,9
15,NAdamW (Tuned for ResNet) (JAX),0.39506172839506126,13,7,9
15,Schedule-Free AdamW (PyTorch),0.613355780022446,7,7,9
15,Schedule-Free AdamW (JAX),0.6402918069584741,5,7,9
15,Schedule-Free AdamW v2 (JAX),0.7138047138047138,2,7,9
15,Schedule-Free AdamW v2 (PyTorch),0.662177328843996,4,8,9
15,Single Worker DiLoCo (JAX),0.3221099887766551,14,7,9
16,AdEMAMix (AdamW-equiv.) (PyTorch),0.6004489337822676,7,7,9
16,AdEMAMix (PyTorch),0.650392817059484,4,8,9
16,Cautious NAdamW (JAX),0.446127946127947,11,7,9
16,Lion (PyTorch),0.4668911335577998,10,6,9
16,Muon (JAX),0.5881032547699218,8,7,9
16,Muon (PyTorch),0.7177328843995511,1,7,9
16,NAdamW (JAX),0.4332210998877673,12,7,9
16,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5207631874298538,9,7,9
16,NAdamW (Tuned for ResNet) (JAX),0.4051627384960719,13,7,9
16,Schedule-Free AdamW (PyTorch),0.6240179573512903,5,7,9
16,Schedule-Free AdamW (JAX),0.6537598204264875,3,7,9
16,Schedule-Free AdamW v2 (JAX),0.7138047138047137,2,7,9
16,Schedule-Free AdamW v2 (PyTorch),0.6127946127946122,6,8,9
16,Single Worker DiLoCo (JAX),0.29012345679012325,14,7,9
17,AdEMAMix (AdamW-equiv.) (PyTorch),0.6363636363636368,5,7,9
17,AdEMAMix (PyTorch),0.650392817059484,4,8,9
17,Cautious NAdamW (JAX),0.5044893378226719,10,7,9
17,Lion (PyTorch),0.48597081930415215,11,6,9
17,Muon (JAX),0.6307519640852978,6,7,9
17,Muon (PyTorch),0.7210998877665545,1,7,9
17,NAdamW (JAX),0.4388327721661063,12,7,9
17,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5336700336700334,9,7,9
17,NAdamW (Tuned for ResNet) (JAX),0.4304152637485974,13,7,9
17,Schedule-Free AdamW (PyTorch),0.630190796857463,8,7,9
17,Schedule-Free AdamW (JAX),0.6588103254769926,3,7,9
17,Schedule-Free AdamW v2 (JAX),0.7143658810325476,2,7,9
17,Schedule-Free AdamW v2 (PyTorch),0.6301907968574634,7,9,9
17,Single Worker DiLoCo (JAX),0.29629629629629606,14,7,9
18,AdEMAMix (AdamW-equiv.) (PyTorch),0.6475869809203146,5,7,9
18,AdEMAMix (PyTorch),0.6492704826038164,4,8,9
18,Cautious NAdamW (JAX),0.5145903479236814,10,7,9
18,Lion (PyTorch),0.481481481481481,11,6,9
18,Muon (JAX),0.6442199775533113,6,7,9
18,Muon (PyTorch),0.71324354657688,2,8,9
18,NAdamW (JAX),0.42873176206509617,13,7,9
18,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5392817059483729,9,7,9
18,NAdamW (Tuned for ResNet) (JAX),0.4506172839506173,12,7,9
18,Schedule-Free AdamW (PyTorch),0.631874298540965,7,7,9
18,Schedule-Free AdamW (JAX),0.6537598204264875,3,7,9
18,Schedule-Free AdamW v2 (JAX),0.7138047138047137,1,7,9
18,Schedule-Free AdamW v2 (PyTorch),0.6307519640852973,8,9,9
18,Single Worker DiLoCo (JAX),0.32210998877665503,14,7,9
19,AdEMAMix (AdamW-equiv.) (PyTorch),0.5600448933782264,5,7,9
19,AdEMAMix (PyTorch),0.5566778900112234,7,8,9
19,Cautious NAdamW (JAX),0.4360269360269364,10,7,9
19,Lion (PyTorch),0.42704826038159394,11,7,9
19,Muon (JAX),0.6116722783389453,2,7,9
19,Muon (PyTorch),0.6470258136924808,1,8,9
19,NAdamW (JAX),0.37542087542087527,13,7,9
19,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5089786756453427,9,7,9
19,NAdamW (Tuned for ResNet) (JAX),0.39730639730639755,12,7,9
19,Schedule-Free AdamW (PyTorch),0.5443322109988779,8,7,9
19,Schedule-Free AdamW (JAX),0.557239057239057,6,7,9
19,Schedule-Free AdamW v2 (JAX),0.6105499438832767,3,7,9
19,Schedule-Free AdamW v2 (PyTorch),0.5729517396184067,4,9,9
19,Single Worker DiLoCo (JAX),0.2514029180695844,14,7,9
20,AdEMAMix (AdamW-equiv.) (PyTorch),0.562289562289562,6,7,9
20,AdEMAMix (PyTorch),0.6172839506172837,4,8,9
20,Cautious NAdamW (JAX),0.45959595959595995,10,7,9
20,Lion (PyTorch),0.43041526374859734,11,7,9
20,Muon (JAX),0.6184062850729521,3,7,9
20,Muon (PyTorch),0.6459034792368129,1,8,9
20,NAdamW (JAX),0.39337822671155975,13,7,9
20,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5325476992143662,9,7,9
20,NAdamW (Tuned for ResNet) (JAX),0.4276094276094274,12,7,9
20,Schedule-Free AdamW (PyTorch),0.5549943883277215,8,7,9
20,Schedule-Free AdamW (JAX),0.5606060606060603,7,7,9
20,Schedule-Free AdamW v2 (JAX),0.6105499438832767,5,7,9
20,Schedule-Free AdamW v2 (PyTorch),0.6212121212121214,2,9,9
20,Single Worker DiLoCo (JAX),0.25701459034792334,14,7,9
