relaxation_percent,submission,score,rank,workloads_reached,workload_count
11,Single Worker DiLoCo v2 (JAX),0.24803591470258102,14,6,9
12,AdEMAMix (PyTorch),0.5948372615039287,5,7,9
12,Muon (PyTorch),0.6986531986531989,1,7,9
12,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5106621773288437,8,7,9
12,Schedule-Free AdamW v2 (PyTorch),0.618967452300786,3,7,9
12,Single Worker DiLoCo v2 (JAX),0.30471380471380477,14,7,9
13,AdEMAMix (PyTorch),0.6217732884399555,4,7,9
13,Muon (PyTorch),0.7109988776655444,2,7,9
13,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5353535353535349,8,7,9
13,Schedule-Free AdamW v2 (PyTorch),0.6195286195286199,5,8,9
13,Single Worker DiLoCo v2 (JAX),0.2934904601571266,14,7,9
14,AdEMAMix (PyTorch),0.634118967452301,4,7,9
14,Muon (PyTorch),0.7098765432098766,2,7,9
14,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5578002244668906,7,7,9
14,Schedule-Free AdamW v2 (PyTorch),0.6195286195286199,5,8,9
14,Single Worker DiLoCo v2 (JAX),0.31874298540965207,14,7,9
15,AdEMAMix (PyTorch),0.6352413019079688,5,7,9
15,Muon (PyTorch),0.7222222222222222,1,7,9
15,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5476992143658806,8,7,9
15,Schedule-Free AdamW v2 (PyTorch),0.662177328843996,3,8,9
15,Single Worker DiLoCo v2 (JAX),0.3221099887766551,14,7,9
16,AdEMAMix (PyTorch),0.6004489337822676,6,7,9
16,Muon (PyTorch),0.7177328843995511,1,7,9
16,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5207631874298538,8,7,9
16,Schedule-Free AdamW v2 (PyTorch),0.6127946127946122,5,8,9
16,Single Worker DiLoCo v2 (JAX),0.29012345679012325,14,7,9
17,AdEMAMix (PyTorch),0.6363636363636368,4,7,9
17,Muon (PyTorch),0.7210998877665545,1,7,9
17,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5336700336700334,8,7,9
17,Schedule-Free AdamW v2 (PyTorch),0.6301907968574634,6,9,9
17,Single Worker DiLoCo v2 (JAX),0.29629629629629606,14,7,9
18,AdEMAMix (PyTorch),0.6475869809203146,4,7,9
18,Muon (PyTorch),0.71324354657688,2,8,9
18,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5392817059483729,8,7,9
18,Schedule-Free AdamW v2 (PyTorch),0.6307519640852973,7,9,9
18,Single Worker DiLoCo v2 (JAX),0.32210998877665503,14,7,9
19,AdEMAMix (PyTorch),0.5600448933782264,5,7,9
19,Muon (PyTorch),0.6470258136924808,1,8,9
19,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5089786756453427,8,7,9
19,Schedule-Free AdamW v2 (PyTorch),0.5729517396184067,4,9,9
19,Single Worker DiLoCo v2 (JAX),0.2514029180695844,14,7,9
20,AdEMAMix (PyTorch),0.562289562289562,5,7,9
20,Muon (PyTorch),0.6459034792368129,1,8,9
20,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.5325476992143662,8,7,9
20,Schedule-Free AdamW v2 (PyTorch),0.6212121212121214,2,9,9
20,Single Worker DiLoCo v2 (JAX),0.25701459034792334,14,7,9
