submission,workload,workload_variant,study,trial,metric_name,target_value,higher_is_better,global_step,accumulated_submission_time,metric_value
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,75281,50013.83112764359,0.56264
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,78347,52010.98608517647,0.58404
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,81251,54006.94644570351,0.56976
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,84404,56000.06719684601,0.57478
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,87350,57995.39796209335,0.58648
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,90524,59988.28166723251,0.58454
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,93513,61981.37939119339,0.58188
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,96569,63974.19988012314,0.58666
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,99629,65967.99165344238,0.58048
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,102531,67966.35271310806,0.5865
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,105673,69959.5527381897,0.60082
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,108601,71954.94197368622,0.59754
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,111724,73948.011013031,0.61518
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,1,14.887816667556764,1.7491333944865544
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,2740,1759.8591146469116,0.2916815526480954
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,5058,3505.350795507431,0.2240911504852025
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,7526,5250.848752975464,0.1984647322937285
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,9964,6996.45779800415,0.1855066866219282
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,12268,8741.48874425888,0.1761405880364988
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,14740,10486.553693294523,0.1736687104716844
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,17174,12231.734706878662,0.1651812871143726
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,19479,13977.2020945549,0.156732486844011
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,21948,15722.519752025604,0.1550716941051513
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,24397,17468.3129863739,0.1529570800946265
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,26705,19214.78207349777,0.1441992951286631
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,29204,20959.868836164474,0.1449331337807174
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,31621,22706.18165564537,0.1391976053686091
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,33921,24451.73694300652,0.1369091874668082
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,36431,26197.03010058403,0.1312509052286004
