workload,label,model_family,submission,median_seconds,self_tuning_budget_seconds,budget_fraction,target_reached,best_non_muon_submission,best_non_muon_seconds,speedup_vs_best_non_muon
finewebedu_lm,FineWebEdu,Decoder Transformer,Schedule-Free AdamW (JAX),12875.283079862596,47950.5,0.2685119671299068,True,Schedule-Free AdamW (JAX),12875.283079862596,1.0
finewebedu_lm,FineWebEdu,Decoder Transformer,Schedule-Free AdamW v2 (JAX),15451.99134683609,47950.5,0.3222488054730626,True,Schedule-Free AdamW (JAX),12875.283079862596,0.8332442589995953
finewebedu_lm,FineWebEdu,Decoder Transformer,Schedule-Free AdamW v2 (PyTorch),inf,47950.5,inf,False,Schedule-Free AdamW (JAX),12875.283079862596,
finewebedu_lm,FineWebEdu,Decoder Transformer,Single Worker DiLoCo (JAX),28314.81918931008,47950.5,0.5905010206214759,True,Schedule-Free AdamW (JAX),12875.283079862596,0.4547188874412274
finewebedu_lm,FineWebEdu,Decoder Transformer,Single Worker DiLoCo v2 (JAX),28313.97388148308,47950.5,0.5904833918620886,True,Schedule-Free AdamW (JAX),12875.283079862596,0.4547324629794492
wmt,WMT,Transformer,AdEMAMix (PyTorch),17399.639942407608,24171.0,0.7198560234333543,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.5934293519308707
wmt,WMT,Transformer,Cautious NAdamW (JAX),14232.458706855774,24171.0,0.5888237436124187,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.7254865281906399
wmt,WMT,Transformer,Lion (PyTorch),15475.552730083466,24171.0,0.6402528952084509,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.667210873494775
wmt,WMT,Transformer,Muon (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
wmt,WMT,Transformer,Muon (PyTorch),14214.779582500458,24171.0,0.5880923247900566,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.7263888261457752
wmt,WMT,Transformer,NAdamW (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
